City_Data,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
87,skjervoy,92,NO,1532561664,100,70.03,20.97,50.96,4.97
88,east london,92,ZA,1532561665,100,-33.02,27.91,65.0,3.96
89,dikson,92,RU,1532561665,100,73.51,80.55,41.33,23.98
90,mangan,8,IN,1532561665,90,27.5,88.54,43.85,2.17
91,mar del plata,24,AR,1532561643,78,-46.43,-67.52,38.27,2.73
92,vaini,100,IN,1532561666,98,15.34,74.49,70.4,7.43
93,airai,0,TL,1532561666,74,-8.93,125.41,70.85,1.95
94,hithadhoo,76,MV,1532561667,100,-0.6,73.08,81.38,19.84
95,arkadak,80,RU,1532561667,74,51.94,43.49,66.44,9.66
96,anloga,40,GH,1532559600,83,5.79,0.9,78.8,11.41
97,vila franca do campo,20,PT,1532559600,88,37.72,-25.43,68.0,13.87
98,nkowakowa,0,ZA,1532561668,73,-23.89,30.29,36.38,3.4
99,cayenne,0,GF,1532559600,88,4.94,-52.33,78.8,4.7
100,dolores,100,AR,1532561669,79,-36.31,-57.68,47.36,11.45
101,ballina,24,IE,1532561670,75,54.11,-9.15,63.38,14.7
102,peleduy,64,RU,1532561670,100,59.63,112.75,54.2,3.18
103,tres arroyos,36,AR,1532561670,84,-38.38,-60.28,37.82,7.2
104,miles city,75,US,1532559180,36,46.41,-105.84,78.8,11.41
105,lavrentiya,0,RU,1532561671,94,65.58,-170.99,44.39,4.97
106,kruisfontein,8,ZA,1532561672,91,-34.0,24.73,54.56,3.74
107,nikolskoye,0,RU,1532559600,77,59.7,30.79,68.0,4.47
108,narayanganj,75,BD,1532557800,88,23.62,90.5,80.6,6.93
109,aranjuez,0,ES,1532559600,33,40.03,-3.6,77.0,5.82
110,arlit,24,NE,1532561673,42,18.74,7.39,86.87,12.35
111,caravelas,32,BR,1532561673,98,-17.73,-39.27,76.43,14.7
112,bathsheba,40,BB,1532559600,83,13.22,-59.52,80.6,16.11
113,high level,20,CA,1532559600,44,58.52,-117.13,78.8,5.82
114,sur,0,OM,1532561674,83,22.57,59.53,88.04,4.18
115,sayula,40,MX,1532558580,70,19.88,-103.6,84.2,11.41
116,upernavik,92,GL,1532561388,91,72.79,-56.15,39.26,4.74
117,lishui,24,CN,1532561675,90,28.45,119.91,79.4,2.39
118,baykit,80,RU,1532561675,95,61.68,96.39,54.02,3.74
119,kiria,68,NE,1532561676,94,13.42,7.17,70.58,6.64
120,takoradi,92,GH,1532561676,100,4.89,-1.75,74.99,12.8
121,victoria,75,BN,1532557800,88,5.28,115.24,78.8,2.24
122,broome,24,GB,1532560800,88,52.47,1.45,66.2,3.36
123,murgab,0,TM,1532559600,44,37.5,61.97,75.2,4.7
124,yar-sale,0,RU,1532561677,92,66.83,70.83,50.51,14.47
125,carnarvon,20,ZA,1532561678,71,-30.97,22.13,40.88,5.97
126,inhambane,0,MZ,1532561678,100,-23.87,35.38,62.48,5.64
127,samarai,92,PG,1532561678,99,-10.62,150.67,78.23,14.03
128,coahuayana,44,MX,1532561679,57,18.62,-100.35,81.38,2.62
129,peruibe,88,BR,1532561486,97,-24.32,-47.0,68.33,10.22
130,segou,0,SN,1532561679,89,12.41,-12.29,76.88,7.99
131,sioux lookout,75,CA,1532560380,87,50.1,-91.92,60.8,10.29
132,port lincoln,0,AU,1532561680,98,-34.72,135.86,56.27,13.47
133,port hardy,20,CA,1532559600,77,50.7,-127.42,62.6,6.93
134,port lavaca,1,US,1532560500,41,28.61,-96.63,96.8,8.05
135,belaya gora,80,RU,1532561681,93,68.54,146.19,46.46,13.02
136,hasaki,75,JP,1532559600,69,35.73,140.83,78.8,9.17
137,capinopolis,0,BR,1532561682,53,-18.68,-49.57,70.4,8.99
138,alindao,64,CF,1532561682,92,5.04,21.21,70.85,3.18
139,coquimbo,20,CL,1532559600,93,-29.95,-71.34,48.2,4.7
140,paka,0,HR,1532561400,93,45.29,18.06,64.4,6.93
141,mount isa,0,AU,1532559600,29,-20.73,139.49,62.6,10.78
142,egvekinot,36,RU,1532561683,65,66.32,-179.17,64.55,4.85
143,ubinskoye,36,RU,1532561684,79,55.31,79.68,57.53,9.78
144,gat,0,SN,1532561684,82,14.69,-16.54,75.17,8.55
145,faya,40,SA,1532559600,56,18.39,42.45,71.6,4.18
146,port alfred,92,ZA,1532561685,100,-33.59,26.89,62.3,2.95
147,hammerfest,75,NO,1532559000,93,70.66,23.68,53.6,3.36
148,sinnamary,36,GF,1532561685,94,5.38,-52.96,81.2,10.89
149,acapulco,20,MX,1532558760,66,16.86,-99.88,87.8,11.41
150,bolanos de calatrava,0,ES,1532561686,35,38.91,-3.66,69.41,6.98
151,salinopolis,68,BR,1532561686,95,-0.61,-47.36,81.2,15.82
152,severo-kurilsk,92,RU,1532561687,92,50.68,156.12,53.21,6.31
153,yulin,0,CN,1532561687,76,38.3,109.75,68.51,7.09
154,iqaluit,75,CA,1532559600,81,63.75,-68.52,51.8,3.36
155,pangnirtung,90,CA,1532556000,93,66.15,-65.72,46.4,3.36
156,genhe,0,CN,1532561688,82,50.78,121.52,65.0,4.07
157,haimen,80,CN,1532561688,89,31.87,121.18,86.42,3.85
158,abu samrah,0,SY,1532561688,65,35.3,37.18,69.5,6.42
159,san patricio,76,PY,1532561689,97,-26.98,-56.83,53.75,2.17
160,clyde river,90,CA,1532559720,100,70.47,-68.59,35.6,11.41
161,lebu,75,ET,1532556000,93,8.96,38.73,55.4,2.24
162,naryan-mar,36,RU,1532561690,71,67.67,53.09,63.74,2.17
163,grand gaube,40,MU,1532559600,68,-20.01,57.66,71.6,12.75
164,townsville,20,AU,1532559600,69,-19.26,146.82,73.4,4.7
165,sandusky,1,US,1532559180,54,41.45,-82.71,87.8,6.93
166,sitka,20,US,1532561691,26,37.17,-99.65,96.5,14.81
167,saint-joseph,0,FR,1532559600,88,43.56,6.97,75.2,2.24
168,cherskiy,32,RU,1532561692,55,68.75,161.3,59.15,3.18
169,new norfolk,75,AU,1532559600,61,-42.78,147.06,50.0,10.29
170,nuuk,75,GL,1532559000,93,64.17,-51.74,39.2,10.29
171,marsh harbour,76,BS,1532561693,98,26.54,-77.06,84.26,13.91
172,kilindoni,8,TZ,1532561693,93,-7.91,39.67,77.06,19.06
